values,names,fixed,lower_bound,upper_bound,steps,lower_start,upper_start
0.1,beta,1,-0.5,0.5,0.1,-0.2,0.2
1,tshift,1,0,3,0.1,0,10
5,desired_mode,1,0,7,0.1,0,10
20.76267782941561,viral_peak,0,0,40,0.1,15,25
5.21659744798358,obs_sd,0,0,25,0.1,1,10
0.3902776152740124,sd_mod,1,0,1,0.1,0.4,0.6
14,sd_mod_wane,1,0,14,0.1,0,14
40,true_0,1,40,100,0.1,40,100
40,intercept,1,35,100,0.1,35,100
3,LOD,1,0,10,0.1,0,10
5,incu,1,0,10,0.1,0,10
8.393459329952737,t_switch,0,0,30,0.1,10,30
33,level_switch,0,0,40,0.1,33,40
1000,wane_rate2,1,0,10000,0.1,10,50
0.10985950300164192,prob_detect,0,0,1,0.1,0.01,0.1
1,t_unit,1,0,1,0.1,0,1
