values,names,fixed,lower_bound,upper_bound,steps,lower_start,upper_start
1,tshift,1,0,3,0.1,0,10
5,desired_mode,1,0,7,0.1,0,10
20.76267783,viral_peak,0,0,40,0.1,15,25
5.216597448,obs_sd,0,0,25,0.1,1,10
0.390277615,sd_mod,1,0,1,0.1,0.4,0.6
14,sd_mod_wane,1,0,14,0.1,0,14
40,true_0,1,40,100,0.1,40,100
40,intercept,1,35,100,0.1,35,100
3,LOD,1,0,10,0.1,0,10
5,incu,1,0,10,0.1,0,10
8.39345933,t_switch,0,0,30,0.1,10,30
33,level_switch,0,0,40,0.1,33,40
1000,wane_rate2,1,0,10000,0.1,10,50
0.109859503,prob_detect,0,0,1,0.1,0.01,0.1
1,t_unit,1,0,1,0.1,0,1
2.5,R0,0,1,10,0.1,1.5,3
4,infectious,0,0,25,0.1,5,10
4,incubation,0,0,25,0.1,5,10
15,t0,0,0,100,0.1,0,50
0.002,I0,1,0,0.01,0.1,0,0.001
